# radius 	 red 	 green 	 blue
10.256003 0.896470 0.889865 0.897475
30.768009 0.898172 0.891072 0.898920
51.280016 0.899552 0.892565 0.900724
71.792022 0.902102 0.892978 0.903536
92.304028 0.904189 0.891749 0.906213
112.816034 0.905640 0.890464 0.907841
133.328041 0.908583 0.890866 0.910974
153.840047 0.911274 0.891472 0.913909
174.352053 0.912783 0.891357 0.916106
194.864059 0.914910 0.891370 0.918113
215.376066 0.917835 0.891253 0.919968
235.888072 0.920220 0.891357 0.921543
256.400078 0.922855 0.891357 0.922885
276.912084 0.926177 0.891439 0.924165
297.424090 0.928157 0.891530 0.924772
317.936097 0.930454 0.891989 0.926007
338.448103 0.932645 0.892813 0.927094
358.960109 0.934265 0.893506 0.927871
379.472115 0.935969 0.894342 0.928388
399.984122 0.937484 0.895343 0.928835
420.496128 0.938880 0.896848 0.929714
441.008134 0.939959 0.898681 0.930688
461.520140 0.940780 0.900531 0.931433
482.032147 0.941972 0.902664 0.932413
502.544153 0.943081 0.904723 0.933336
523.056159 0.944473 0.907530 0.934460
543.568165 0.945816 0.910505 0.935950
564.080172 0.947020 0.913240 0.937201
584.592178 0.948019 0.916125 0.938715
605.104184 0.949225 0.918944 0.940093
625.616190 0.950455 0.922296 0.941250
646.128197 0.951711 0.925457 0.942684
666.640203 0.953277 0.928845 0.944414
687.152209 0.954695 0.932663 0.946925
707.664215 0.956584 0.936468 0.949203
728.176222 0.958901 0.940644 0.951824
748.688228 0.961302 0.944918 0.954423
769.200234 0.963962 0.949454 0.957561
789.712240 0.966056 0.953837 0.960166
810.224246 0.968754 0.958434 0.963361
830.736253 0.971110 0.962754 0.966414
851.248259 0.973563 0.967124 0.969296
871.760265 0.976240 0.971472 0.972488
892.272271 0.978984 0.976033 0.975651
912.784278 0.981613 0.980419 0.978785
933.296284 0.984126 0.984628 0.982026
953.808290 0.987051 0.989160 0.985034
974.320296 0.989607 0.993223 0.987820
994.832303 0.992301 0.997327 0.990913
1015.344309 0.995150 1.001498 0.994160
1035.856315 0.997832 1.005318 0.997008
1056.368321 1.000473 1.009019 1.000294
1076.880328 1.002753 1.012525 1.002987
1097.392334 1.004938 1.016128 1.005884
1117.904340 1.006861 1.018994 1.008730
1138.416346 1.008571 1.021929 1.010793
1158.928353 1.010130 1.024334 1.012722
1179.440359 1.011290 1.026561 1.014811
1199.952365 1.012816 1.028480 1.016554
1220.464371 1.014631 1.030551 1.019137
1240.976378 1.017886 1.035540 1.023277
1261.488384 1.021222 1.040519 1.026820
1282.000390 1.023931 1.044240 1.029581
1302.512396 1.026691 1.048124 1.032512
1323.024402 1.029356 1.051349 1.035054
1343.536409 1.031429 1.054168 1.037814
1364.048415 1.033737 1.057209 1.040561
1384.560421 1.036445 1.060435 1.043351
1405.072427 1.038721 1.062741 1.045682
1425.584434 1.041568 1.065042 1.048384
1446.096440 1.043979 1.066612 1.050861
1466.608446 1.046064 1.068107 1.052809
1487.120452 1.048394 1.069373 1.054585
1507.632459 1.050530 1.070419 1.056684
1528.144465 1.052393 1.070870 1.057975
1548.656471 1.054340 1.070733 1.059441
1569.168477 1.055810 1.070822 1.060905
1589.680484 1.057091 1.070750 1.061523
1610.192490 1.058448 1.070420 1.062379
1630.704496 1.059518 1.069691 1.063777
1651.216502 1.054854 1.065795 1.059317
1671.728509 1.051229 1.062643 1.055799
1692.240515 1.049593 1.060683 1.053728
1712.752521 1.048251 1.059166 1.052023
1733.264527 1.046955 1.057640 1.050761
1753.776534 1.046028 1.056838 1.049753
1774.288540 1.044133 1.054901 1.048004
1794.800546 1.041820 1.051669 1.045655
1815.312552 1.039733 1.048657 1.043168
1835.824559 1.037954 1.046647 1.040875
1856.336565 1.036110 1.043956 1.039043
1876.848571 1.033728 1.040252 1.037334
1897.360577 1.031686 1.036736 1.036017
1917.872583 1.029171 1.033301 1.033745
1938.384590 1.027592 1.029273 1.031793
1958.896596 1.025077 1.025133 1.031536
1979.408602 1.023115 1.020116 1.031964
1999.920608 1.023187 1.015306 1.031873
2020.432615 1.023920 1.011158 1.036682
2040.944621 1.029918 1.011991 1.040094
